type,aquarium,name,health,birthday
Goldfish,Acvariu crescatorie,Goldie,100,20/12/2021
Neon tetra,Acvariu crescatorie,Nenny,99,13/12/2021
Guppy,Acvariu crescatorie,Gup,100,02/01/2022
Danio,Acvariu crescatorie,Dan,100,04/01/2022
Betta,Acvariu crescatorie,Betty,90,27/10/2021
Cherry barb,Acvariu crescatorie,Barbie,75,16/09/2021
Black molly,Acvariu crescatorie,Molly,60,13/03/2021
Platy,Acvariu crescatorie,Platty,80,05/08/2020
Goldfish,UnibucBears aquarium,GoldieBear,95,18/01/2022
Tiger barb,UnibucBears aquarium,Tiggy,100,23/11/2021
Danio,UnibucBears aquarium,Danny,98,14/10/2021
Pearl gourami,UnibucBears aquarium,Pearly,90,02/01/2022
Neon tetra,Bucharest petshop aquarium,Tetry,60,14/09/2020
Betta,Bucharest petshop aquarium,Bella,88,16/06/2021
Cherry barb,Bucharest petshop aquarium,Cherry,93,10/10/2020
Black molly,Bucharest petshop aquarium,Blacky,100,19/01/2021
Goldfish,Brasov petshop aquarium,Goldy,100,01/02/2022
Platy,Brasov petshop aquarium,Platus,100,29/12/2021
Danio,Brasov petshop aquarium,Dean,90,30/06/2021
Tiger barb,Brasov petshop aquarium,Tiger,85,15/07/2021
